customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,tenure_group,monthly_charge_group,total_charge_group,tenure_years,new_customer,long_term_customer,avg_monthly_charges,revenue_per_year,has_streaming,has_internet,num_services,paperless_and_monthly,automatic_payments,total_charges_per_service,monthly_charges_per_service,loyal_high_spender
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,13-24m,Medium ($40-$70),P25-50,1.0833333333333333,0,0,45.18846153846154,542.2615384615385,No,Yes,3,No,No,146.86,12.49,No
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,13-24m,Low(<40$),P10-25,1.3333333333333333,0,0,20.425,245.10000000000002,No,No,1,No,Yes,163.4,9.48,No
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,49-72m,Very High (>$100),P75-90,4.833333333333333,0,1,97.95,1175.4,Yes,Yes,5,No,Yes,946.85,16.72,Yes
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,49-72m,Very High (>$100),P75-90,4.083333333333333,0,1,102.78163265306122,1233.3795918367348,Yes,Yes,6,Yes,Yes,719.47,14.81,Yes
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,25-48m,Very High (>$100),P50-75,2.0833333333333335,0,0,107.44200000000001,1289.304,Yes,Yes,7,Yes,No,335.76,13.19,No
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,49-72m,Very High (>$100),P90-100,5.75,0,1,114.42246376811593,1373.0695652173913,Yes,Yes,8,No,Yes,877.24,12.58,Yes
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,49-72m,Low(<40$),P25-50,4.333333333333333,0,1,19.672115384615385,236.06538461538463,No,No,1,No,No,511.48,10.32,No
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,49-72m,Very High (>$100),P90-100,5.916666666666667,0,1,103.97535211267606,1247.7042253521126,Yes,Yes,6,No,Yes,1054.61,15.24,Yes
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,0-12m,Medium ($40-$70),P25-50,0.8333333333333334,1,0,52.835,634.02,No,Yes,4,Yes,Yes,105.67,11.04,No
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,13-24m,High ($70-$100),P50-75,1.75,0,0,88.70952380952382,1064.5142857142857,Yes,Yes,5,Yes,No,310.48,15.01,No
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,0-12m,Low(<40$),P0-10,0.08333333333333333,1,0,39.65,475.8,Yes,Yes,3,Yes,No,9.91,9.91,No
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0-12m,Low(<40$),P10-25,1.0,1,0,16.854166666666668,202.25,No,No,1,No,Yes,101.12,9.9,No
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,0-12m,Low(<40$),P0-10,0.08333333333333333,1,0,20.15,241.79999999999998,No,No,1,No,No,10.07,10.07,No
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,49-72m,Medium ($40-$70),P50-75,4.833333333333333,0,1,60.432758620689654,725.1931034482759,No,Yes,4,No,Yes,701.02,11.98,No
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,49-72m,Medium ($40-$70),P50-75,4.083333333333333,0,1,60.61836734693878,727.4204081632654,No,Yes,5,Yes,Yes,495.05,9.93,No
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,25-48m,Medium ($40-$70),P50-75,2.5,0,0,51.019999999999996,612.24,No,Yes,4,Yes,Yes,306.12,11.06,No
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,25-48m,High ($70-$100),P75-90,3.9166666666666665,0,0,101.04574468085106,1212.5489361702128,Yes,Yes,5,Yes,No,791.52,16.56,No
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,0-12m,Low(<40$),P0-10,0.08333333333333333,1,0,30.2,362.40000000000003,No,Yes,2,Yes,No,10.07,10.07,No
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,49-72m,High ($70-$100),P90-100,6.0,0,1,88.46458333333334,1061.575,Yes,Yes,8,No,Yes,707.72,10.03,No
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,13-24m,Medium ($40-$70),P25-50,1.4166666666666667,0,0,64.3,771.5999999999999,Yes,Yes,4,No,No,218.62,12.94,No
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,49-72m,High ($70-$100),P90-100,5.916666666666667,0,1,95.30915492957746,1143.7098591549295,No,Yes,6,No,Yes,966.71,13.76,No
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0-12m,High ($70-$100),P10-25,0.16666666666666666,1,0,90.825,1089.9,Yes,Yes,5,Yes,Yes,30.28,15.92,No
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,25-48m,Medium ($40-$70),P50-75,2.25,0,0,69.42407407407407,833.088888888889,No,Yes,6,No,No,267.78,9.45,No
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0-12m,Low(<40$),P0-10,0.08333333333333333,1,0,20.2,242.4,No,No,1,Yes,Yes,10.1,10.1,No
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0-12m,Medium ($40-$70),P0-10,0.08333333333333333,1,0,45.25,543.0,No,Yes,2,Yes,Yes,15.08,15.08,No
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,49-72m,High ($70-$100),P90-100,6.0,0,1,100.71805555555555,1208.6166666666666,Yes,Yes,6,No,Yes,1035.96,14.27,No
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0-12m,Medium ($40-$70),P10-25,0.4166666666666667,1,0,63.379999999999995,760.56,No,Yes,2,Yes,No,105.63,23.23,No
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,25-48m,High ($70-$100),P50-75,3.8333333333333335,0,0,77.13695652173914,925.6434782608695,No,Yes,3,Yes,Yes,887.08,18.7,No
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,25-48m,Very High (>$100),P50-75,2.8333333333333335,0,0,104.38970588235294,1252.6764705882351,Yes,Yes,6,Yes,No,507.04,15.19,No
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,0-12m,High ($70-$100),P25-50,0.9166666666666666,1,0,100.4909090909091,1205.8909090909092,Yes,Yes,5,Yes,Yes,184.23,16.31,No
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0-12m,Medium ($40-$70),P25-50,0.8333333333333334,1,0,47.57,570.8399999999999,No,Yes,3,No,No,118.92,12.39,No
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,49-72m,Medium ($40-$70),P75-90,5.833333333333333,0,1,69.605,835.2600000000001,Yes,Yes,5,No,Yes,812.06,11.53,No
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,13-24m,Low(<40$),P25-50,1.4166666666666667,0,0,24.602941176470587,295.235294117647,No,No,1,No,No,209.12,10.38,No
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,49-72m,High ($70-$100),P75-90,5.25,0,1,77.16587301587302,925.9904761904761,Yes,Yes,7,No,Yes,607.68,9.98,No
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,13-24m,High ($70-$100),P25-50,1.0833333333333333,0,0,75.49615384615385,905.9538461538463,Yes,Yes,6,Yes,No,140.21,10.89,No
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,49-72m,High ($70-$100),P75-90,4.083333333333333,0,1,79.72857142857143,956.7428571428571,Yes,Yes,3,Yes,No,976.68,21.12,No
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0-12m,Medium ($40-$70),P10-25,0.16666666666666666,1,0,48.5,582.0,No,Yes,3,No,No,24.25,12.31,No
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0-12m,High ($70-$100),P10-25,0.16666666666666666,1,0,72.075,864.9000000000001,Yes,Yes,3,Yes,No,36.04,20.16,No
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,49-72m,High ($70-$100),P75-90,4.333333333333333,0,1,81.11153846153846,973.3384615384616,Yes,Yes,6,No,Yes,602.54,11.39,No
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,49-72m,Medium ($40-$70),P75-90,5.75,0,1,61.6536231884058,739.8434782608696,No,Yes,5,No,Yes,709.02,10.69,No
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,25-48m,High ($70-$100),P75-90,3.5833333333333335,0,0,89.27325581395348,1071.2790697674418,Yes,Yes,4,Yes,No,767.75,18.05,No
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,13-24m,High ($70-$100),P50-75,1.25,0,0,95.09333333333333,1141.1200000000001,Yes,Yes,6,Yes,Yes,203.77,14.16,No
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,25-48m,Medium ($40-$70),P50-75,2.0833333333333335,0,0,70.10600000000001,841.2719999999999,Yes,Yes,5,Yes,Yes,292.11,11.58,No
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,0-12m,High ($70-$100),P25-50,0.6666666666666666,1,0,79.1625,949.9499999999999,No,Yes,3,Yes,Yes,158.32,20.16,No
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,49-72m,High ($70-$100),P75-90,5.0,0,1,74.27250000000001,891.2700000000001,Yes,Yes,7,No,Yes,557.04,9.36,No
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,13-24m,High ($70-$100),P50-75,1.5,0,0,97.36388888888888,1168.3666666666666,Yes,Yes,4,Yes,No,350.51,19.09,No
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,49-72m,High ($70-$100),P90-100,5.25,0,1,100.17777777777778,1202.1333333333332,Yes,Yes,5,No,Yes,1051.87,16.61,No
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,49-72m,Very High (>$100),P90-100,5.5,0,1,107.21742424242424,1286.609090909091,Yes,Yes,7,No,No,884.54,13.56,Yes
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,25-48m,Low(<40$),P25-50,2.8333333333333335,0,0,26.302941176470586,315.63529411764705,No,No,1,No,Yes,447.15,12.48,No
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,49-72m,Very High (>$100),P90-100,6.0,0,1,109.07916666666667,1308.95,Yes,Yes,6,No,Yes,1121.96,15.36,Yes
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,25-48m,Very High (>$100),P75-90,3.9166666666666665,0,0,100.15106382978725,1201.812765957447,Yes,Yes,5,Yes,No,784.52,16.75,No
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,49-72m,High ($70-$100),P75-90,5.0,0,1,90.845,1090.1399999999999,Yes,Yes,4,Yes,Yes,1090.14,17.98,No
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,49-72m,Medium ($40-$70),P50-75,6.0,0,1,41.138888888888886,493.6666666666667,No,Yes,4,No,Yes,592.4,8.42,No
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,13-24m,Medium ($40-$70),P25-50,1.5,0,0,53.172222222222224,638.0666666666667,No,Yes,4,No,Yes,191.42,10.88,No
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,0-12m,High ($70-$100),P25-50,0.75,1,0,95.25,1143.0,Yes,Yes,4,Yes,No,171.45,18.88,No
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0-12m,High ($70-$100),P10-25,0.25,1,0,81.36666666666666,976.4,Yes,Yes,6,Yes,No,34.87,10.76,No
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,25-48m,High ($70-$100),P50-75,3.9166666666666665,0,0,77.66702127659575,932.0042553191489,No,Yes,3,No,No,912.59,19.73,No
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,25-48m,High ($70-$100),P50-75,2.5833333333333335,0,0,80.55483870967741,966.6580645161289,Yes,Yes,7,No,No,312.15,9.9,No
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,49-72m,Low(<40$),P25-50,4.166666666666667,0,1,18.618,223.41599999999997,No,No,1,No,Yes,465.45,10.07,No
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0-12m,High ($70-$100),P25-50,0.8333333333333334,1,0,88.735,1064.82,No,Yes,4,No,No,177.47,15.97,No
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0-12m,Medium ($40-$70),P0-10,0.08333333333333333,1,0,49.05,588.6,No,Yes,3,No,No,12.26,12.26,No
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,49-72m,Low(<40$),P25-50,4.333333333333333,0,1,20.974038461538463,251.68846153846158,No,No,1,No,No,545.33,10.2,No
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,49-72m,Very High (>$100),P90-100,5.333333333333333,0,1,110.921875,1331.0625,Yes,Yes,7,No,Yes,887.38,13.95,Yes
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,49-72m,Low(<40$),P50-75,5.166666666666667,0,1,22.97741935483871,275.7290322580645,No,No,1,No,Yes,712.3,12.12,No
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0-12m,Medium ($40-$70),P10-25,0.25,1,0,59.13333333333333,709.6,Yes,Yes,5,Yes,Yes,29.57,10.75,No
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,49-72m,Very High (>$100),P90-100,4.666666666666667,0,1,109.63392857142857,1315.6071428571427,Yes,Yes,7,No,No,767.44,13.81,Yes
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,25-48m,Medium ($40-$70),P50-75,3.8333333333333335,0,0,58.45326086956521,701.4391304347826,Yes,Yes,3,No,Yes,672.21,13.91,No
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0-12m,Medium ($40-$70),P25-50,0.6666666666666666,1,0,60.28125,723.375,No,Yes,4,No,No,96.45,10.93,No
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,25-48m,High ($70-$100),P50-75,2.5,0,0,70.37666666666668,844.5200000000001,Yes,Yes,6,Yes,No,301.61,10.68,No
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,25-48m,Low(<40$),P25-50,3.75,0,0,27.035555555555554,324.4266666666666,No,No,1,No,Yes,608.3,12.95,No
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0-12m,High ($70-$100),P0-10,0.08333333333333333,1,0,79.35,952.1999999999999,Yes,Yes,3,Yes,No,19.84,19.84,No
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0-12m,Medium ($40-$70),P25-50,0.9166666666666666,1,0,51.39545454545455,616.7454545454545,Yes,Yes,4,Yes,No,113.07,10.11,No
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,0-12m,High ($70-$100),P25-50,0.5833333333333334,1,0,70.98571428571428,851.8285714285713,No,Yes,3,Yes,Yes,124.22,18.79,No
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,25-48m,Very High (>$100),P75-90,3.5,0,0,103.03571428571429,1236.4285714285713,Yes,Yes,7,Yes,Yes,540.94,12.98,No
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,49-72m,Low(<40$),P25-50,4.083333333333333,0,1,19.864285714285714,238.3714285714286,No,No,1,No,Yes,486.68,10.07,No
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0-12m,High ($70-$100),P25-50,0.75,1,0,102.08333333333333,1225.0,Yes,Yes,5,Yes,Yes,153.12,16.55,No
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,25-48m,Medium ($40-$70),P50-75,2.9166666666666665,0,0,63.29857142857142,759.5828571428572,Yes,Yes,4,No,Yes,443.09,12.43,No
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,25-48m,Low(<40$),P25-50,4.0,0,1,22.020833333333332,264.25,No,No,1,No,Yes,528.5,10.32,No
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,25-48m,Low(<40$),P25-50,3.8333333333333335,0,0,20.15434782608696,241.8521739130435,No,No,1,No,No,463.55,9.98,No
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,25-48m,Low(<40$),P25-50,2.4166666666666665,0,0,34.80172413793103,417.62068965517244,Yes,Yes,2,No,No,336.42,11.25,No
